run,bucket,scenario,policy_internal,prompt_tokens,concurrency,aggregate_prompt_tokens,delay_ms_internal,pd_count,pd_payload_GB,pd_mean_ms,pd_total_ms,pd_GBps,store_total_ms,store_wait_ms,store_pause_ms,ttft_mean_ms,ttft_p95_ms,decode_elapsed_mean_ms,tpot_mean_ms,request_count,pcie_tx_peak_gbps,pcie_rx_peak_gbps,ttft_mean_ms_base,pd_mean_ms_base,pd_GBps_base,decode_elapsed_mean_ms_base,ttft_reduction_pct,ttft_reduction_ms,pd_reduction_pct,pd_reduction_ms,pd_bw_improvement_pct,decode_elapsed_reduction_pct,ttft_base_ms,pd_base_ms,pd_base_GBps,scenario_label
20260520_064253_storepd_bestdelay_8k_c1_d100_c1_w8,bestdelay_8k_c1_d100,8k_c1,d100,8000,1,8000,100,1,1.179648,93.77846,93.77846,12.579093322709715,88.131327,98.285905,0,695.9151369519532,695.9151369519532,1438.5673499200493,11.785331381750959,1,181.45103125,184.680171875,741.1343530984595,116.28333,10.144601122104088,1481.8766959942877,6.101352063557497,45.21921614650637,19.353479127231747,22.50487000000001,23.99790954127421,2.922601198285216,741.1343530984595,116.28333,10.144601122104088,"8Kx1
1.2G"
20260520_064653_storepd_bestdelay_16k_c1_d100_c1_w8,bestdelay_16k_c1_d100,16k_c1,d100,16000,1,16000,100,1,2.359296,171.304647,171.304647,13.772516048557634,183.786755,100.291339,0,1743.1941670365632,1743.1941670365632,2533.0349260475487,12.534375952941083,1,182.570640625,184.980390625,1793.1912899948657,214.535786,10.997214236323257,2582.6720679178834,2.7881644996416224,49.9971229583025,20.15101527164331,43.23113900000001,25.236407626466818,1.9219297132969562,1793.1912899948657,214.535786,10.997214236323257,"16Kx1
2.4G"
20260520_065152_storepd_bestdelay_16k_c2_d200_c2_w8,bestdelay_16k_c2_d200,16k_c2,d200,16000,2,32000,200,2,4.718592,137.759841,275.519682,17.126152170863786,287.139201,284.725993,0,2501.99523253832,3189.872548193671,2886.0044715111144,12.382235402436628,2,214.96925,185.523984375,2570.8901890320703,209.9411745,11.237890831176617,2954.993221501354,2.6798093822781626,68.89495649375021,34.38169462084247,72.1813335,52.39649884613324,2.3346500251932345,2570.8901890320703,209.9411745,11.237890831176617,"16Kx2
4.7G"
20260520_070101_storepd_bestdelay_16k_c3_d200_c3_w8,bestdelay_16k_c3_d200,16k_c3,d200,16000,3,48000,200,3,7.077888,133.52036466666667,400.561094,17.669933765459508,420.773327,424.617583,0,3257.3446446719267,4646.835353702772,3642.1325273113325,12.407084945739518,3,205.0483671875,182.9341875,3359.5354709929475,200.18719066666668,11.785449369377899,3743.977093991513,3.041814179470982,102.19082632102072,33.302243654044524,66.66682600000001,49.93008082806965,2.7202240858691336,3359.5354709929475,200.18719066666668,11.785449369377899,"16Kx3
7.1G"
20260520_065616_storepd_bestdelay_24k_c2_d200_c2_w8,bestdelay_24k_c2_d200,24k_c2,d200,24000,2,48000,200,2,7.077888,169.62467900000001,339.24935800000003,20.86337920203227,462.348867,349.227112,0,4337.413743487559,5562.538675556425,4741.390141018201,13.025593936383242,2,217.0673359375,184.5386484375,4408.277248498052,243.400882,14.53956933483914,4813.858172507025,1.6075101681646058,70.8635050104931,30.310573402112805,73.77620299999998,43.493790782649036,1.5054043740362997,4408.277248498052,243.400882,14.53956933483914,"24Kx2
7.1G"
20260520_070536_storepd_bestdelay_8k_c8_d500_c8_w8,bestdelay_8k_c8_d500,8k_c8,d500,8000,8,64000,500,8,9.437184,166.2620655,1330.096524,7.095112143906332,574.291322,585.4662690000001,0,4384.085474375752,5548.019185377052,4822.121153003536,14.122930822908998,8,206.4819296875,186.6947109375,4490.907201121445,240.77403975000001,4.899398627961925,4917.783745739143,2.3786224466855623,106.82172674569301,30.946847229612928,74.51197425000001,44.81598013709267,1.9452378892929354,4490.907201121445,240.77403975000001,4.899398627961925,"8Kx8
9.4G"
